,NT.1,NT.2,HNRNPA2B1.1,HNRNPA2B1.2,CD99.1,CD99.2,B4GALNT1.1,B4GALNT1.2
ABHD15,4.00265,4.2684,4.67802,4.07909,4.39469,4.02207,3.86565,4.75395
ABHD15-AS1,0,0,0,0,0,0,0,0
ABHD16A,12.8838,11.9843,8.64853,10.4384,10.1062,10.4869,12.0616,12.2677
ABHD16B,0,0,0,0.0336827,0,0,0,0
ABHD17A,31.4199,40.3138,34.2096,33.1327,32.3696,40.5121,32.6396,30.7975
ABHD17AP1,0,0,0,0,0,0,0,0
ABHD17AP3,0,0,0,0,0,0,0.0457952,0
ABHD17AP4,0,0,0,0,0,0,0,0
ABHD17AP5,0,0,0,0,0,0,0,0
ABHD17AP6,0,0,0,0.0551986,0,0,0,0
ABHD17AP9,0,0,0,0,0,0,0,0
ABHD17B,9.45568,12.0339,11.66,12.016,11.2732,11.8394,11.8809,14.1545
ABHD17C,13.3312,13.892,15.9334,15.6844,17.0606,15.2833,15.8921,17.4807
ABHD18,5.91167,5.9459,4.61531,5.01303,5.03614,4.68212,5.87382,6.67152
ABHD2,12.5439,15.8335,11.938,13.6733,13.1102,16.5806,16.4297,14.7073
ABHD3,7.95258,9.47946,9.27478,7.54175,11.7612,9.35477,10.7471,11.9779
ABHD4,9.67768,10.755,12.6221,10.3455,11.64,9.28447,10.1493,10.1211
ABHD5,11.6428,13.8806,13.5123,10.6375,11.9317,10.9941,12.3748,12.0353
ABHD6,9.6026,9.82564,10.19,8.52253,10.5335,10.1278,9.87722,10.4222
ABHD8,6.00069,6.15424,4.21903,3.314,5.08333,4.26881,4.69967,5.82029
ABI1,15.2044,14.6964,14.3587,13.8555,14.5606,15.1687,17.0529,15.8161
ABI1P1,0,0,0,0,0,0,0,0
ABI2,59.5862,58.2913,55.5167,59.5614,59.78,59.2907,67.8453,63.935
ABI3,0,0.0265611,0.0734525,0,0.0316589,0.033381,0,0
ABI3BP,1.15955,2.25524,1.55795,1.92265,2.52577,1.41722,2.72553,3.21158
ABITRAM,13.9717,13.8241,13.7546,13.9413,15.4282,14.2593,17.4485,16.047
ABITRAMP1,0,0,0,0,0,0,0,0
ABL1,19.1893,20.8549,21.9625,20.3832,21.7338,18.6915,23.0765,26.0633
ABL2,8.85556,10.2955,9.02873,10.4173,10.7166,9.66918,11.3821,12.0963
ABLIM1,19.3479,22.7887,29.1655,28.6128,24.1278,22.6933,27.7333,24.6722
ABLIM2,1.70668,1.28145,1.68265,0.921314,1.07575,1.94454,1.95514,1.73056
ABLIM3,0.316565,0.303685,0.49196,0.241149,0.416272,0.187891,0.585368,0.486662
ABO,0.0343667,0.0311594,0.0811656,0.0142896,0.0370687,0.0236481,0.0140277,0.0343931
ABR,21.7252,21.9639,20.522,20.7403,17.6718,23.0679,21.5474,22.8252
ABRA,0,0,0,0,0,0,0,0
ABRACL,71.5621,72.0365,73.3601,75.7234,76.3223,74.5833,69.9531,78.1616
ABR-AS1,0,0,0,0,0,0,0.498687,0
ABRAXAS1,13.2115,13.3309,13.8534,16.7837,13.986,12.2824,15.5619,15.7917
ABRAXAS2,18.4192,19.0346,18.1802,19.3947,17.2021,17.2961,19.8692,19.5024
ABT1,40.7813,38.2904,32.7004,32.5501,34.4198,36.5878,34.1864,34.0773
ABT1P1,0,0,0,0,0,0,0,0
ABTB1,3.63709,3.66054,2.40824,2.71643,3.14386,2.48678,3.12743,4.69042
ABTB2,3.6252,2.93135,3.01151,2.66293,3.37714,3.10974,4.34223,3.6232
ACAA1,19.4688,19.9734,17.94,16.5223,18.0013,18.3412,20.2597,17.4264
ACAA2,50.5056,47.6609,50.4552,55.0192,55.5381,51.2759,49.818,55.2717
ACACA,21.6301,21.5052,22.9155,23.7471,22.4452,19.7868,26.1379,23.6565
ACACB,3.85079,3.69011,3.82941,4.78605,3.13841,3.51458,4.84809,5.13424
ACAD10,6.83066,7.88902,8.35845,7.91018,7.36186,6.02344,8.42133,8.22638
ACAD11,24.7748,25.4361,17.9076,22.1812,23.2331,21.0572,27.847,26.5024
ACAD8,9.26392,9.31165,10.095,9.36447,9.25808,8.83156,10.8257,10.1489
ACAD9,25.2445,27.8434,25.8175,24.7089,27.2606,23.8,27.4899,24.3196
ACADL,0.539894,0.55808,0.735738,0.899407,0.78667,0.645356,0.862316,0.702603
ACADM,61.723,60.5149,58.6297,62.7924,65.8594,63.2064,78.2639,74.1489
ACADS,6.55962,6.02343,6.08704,5.78567,5.96591,6.37455,6.12541,5.70606
ACADSB,10.2604,13.198,8.45624,13.9868,9.35864,11.3409,13.8036,12.4869
ACADVL,45.6283,47.4691,39.6488,42.4964,44.4518,42.0005,53.1753,55.5047
ACAN,0.131823,0.0819771,0.0674193,0.0443906,0.0348489,0.0265308,0.106204,0.0405122
ACAP1,1.42993,1.68103,1.00277,1.28426,1.12492,0.793084,0.375692,1.30963
ACAP2,7.52922,6.96333,5.519,6.4021,6.29672,6.72189,9.20247,7.13306
ACAP2-IT1,0.166394,0.227911,0,0.0866187,0.177473,0.0932667,0.331506,0.245241
ACAP3,9.51717,12.9938,9.88737,7.7499,10.9138,9.10143,14.0168,10.8794
ACAT1,100.264,101.733,102.225,105.835,115.868,105.239,126.549,122.482
ACAT2,76.1366,77.0555,90.8615,83.513,79.2716,80.979,79.3905,78.8441
ACBD3,35.3235,34.7347,36.1627,35.1358,38.8736,37.8464,40.225,41.6151
ACBD3-AS1,0,0,0,0,0,0,0,0
ACBD4,4.24461,3.25607,5.28172,3.62201,4.61876,4.69616,3.54259,4.58102
ACBD5,5.68981,6.24353,6.71208,5.93845,6.85535,5.96864,7.55391,7.06146
ACBD6,63.6621,66.1508,58.6885,62.743,64.3285,60.0983,69.3108,67.4168
ACBD7,2.22437,2.53897,2.1423,2.40893,2.61522,2.54754,2.60995,2.52904
ACCS,2.18624,2.64428,2.62918,1.76305,4.605,1.64652,3.60915,2.0611
ACCSL,0,0,0,0,0.0279954,0,0,0
