,h3.1,h3.2,h3.3,h11.1,h11.2,h11.3
ABHD18,8.09834,6.81326,7.24438,7.08146,6.12179,5.95099
ABHD2,8.62044,7.5237,11.2645,9.33597,10.1872,11.3234
ABHD3,24.3829,20.0108,23.1613,20.3433,21.8788,20.5131
ABHD4,6.56701,7.61342,4.77919,9.05634,7.02331,6.63276
ABHD5,12.3766,12.6727,13.1323,15.1147,13.8835,16.2216
ABHD6,8.01457,7.64475,6.2947,7.61875,7.92804,6.79181
ABHD8,2.54347,2.50165,1.78767,4.38617,4.69323,4.12575
ABI1,10.5805,12.4217,11.8089,15.1423,15.0666,15.2806
ABI1P1,0,0,0,0,0,0
ABI2,26.4367,27.3087,32.7295,42.5078,37.0022,39.3404
ABI3,0,0,0,0.0388901,0.0751991,0
ABI3BP,0.52461,0.621356,0.989264,0.7614,0.814386,1.12727
ABITRAM,21.0273,26.5833,21.2545,20.5984,20.6331,20.1519
ABITRAMP1,0,0,0,0,0,0
ABL1,16.4955,17.9843,13.7886,20.5002,17.1113,19.5085
ABL2,5.78986,5.14634,5.95093,6.68569,5.55189,7.29143
ABLIM1,14.4907,14.1155,13.7747,9.25718,9.30058,8.90376
ABLIM2,0.988784,0.940015,0.906538,0.951282,0.707565,0.85422
ABLIM3,0.451302,0.0939425,0.452408,0.310372,0.21011,0.120636
ABO,0.152819,0.369998,0.497265,0.0403237,0.73704,0.0485097
ABR,13.6503,13.3478,11.7046,18.9564,21.214,17.8872
ABRA,0,0,0.0239859,0,0,0
ABRACL,70.5525,78.0777,64.3131,79.0976,86.9804,76.0691
ABR-AS1,0,1.26071,0,0,0,0
ABRAXAS1,6.08742,5.8023,5.86731,5.94714,5.31167,6.41748
ABRAXAS2,14.4695,15.0021,14.1544,20.2346,20.5208,18.7198
ABT1,26.2862,30.5916,26.9113,36.1167,36.3733,36.9065
ABT1P1,0,0,0,0,0,0
ABTB1,2.23402,2.31501,1.7686,2.59124,3.8103,2.67383
ABTB2,2.98775,3.5789,2.81137,4.14133,3.85166,3.70061
ACAA1,29.6498,29.5841,28.8371,35.8181,32.8375,33.2758
ACAA2,25.6294,29.3144,27.0442,35.4892,37.5596,35.8525
ACACA,15.011,16.4857,18.0323,19.6705,23.4811,19.8921
ACACB,3.98291,5.45955,2.11718,3.72742,3.9369,4.92113
ACAD10,10.1651,11.1885,9.93483,9.87736,11.59,12.4581
ACAD11,31.8093,34.2322,33.4502,49.0254,50.7761,50.3741
ACAD8,14.5886,17.2864,15.492,14.4812,16.3183,16.7221
ACAD9,21.3224,21.8867,22.7997,29.1018,28.1508,27.5009
ACADL,2.04406,1.17508,1.36591,1.74259,1.88294,1.71707
ACADM,59.4678,56.8954,54.5543,72.5533,75.6179,73.3723
ACADS,6.19145,3.90492,5.26342,6.05629,7.16795,6.36305
ACADSB,10.2872,10.543,10.3271,17.388,15.7888,14.7197
ACADVL,149.014,154.466,146.956,153.646,148.462,151.302
ACAN,0.044119,0.0537787,0.138015,0.0451623,0.122005,0.0793173
ACAP1,1.76333,2.25688,1.25364,1.42266,1.32606,2.63013
ACAP2,5.85495,7.14938,8.84769,8.76077,8.08927,9.30818
ACAP2-IT1,0.363416,0.657542,0.714212,0.868861,0,0.702342
ACAP3,24.169,26.0499,28.4692,33.9147,32.495,27.6806
ACAT1,73.0396,75.7611,73.2129,83.8341,89.4759,85.6088
ACAT2,73.8521,80.491,72.27,66.1053,65.6102,61.9467
ACBD3,32.548,35.0161,38.1949,40.6352,37.6759,39.2951
ACBD3-AS1,0,0,0,0.154088,0,0
ACBD4,5.27314,4.63212,4.69515,4.75989,5.22425,3.28713
ACBD5,7.05738,6.64966,6.34391,7.95594,9.08538,8.72495
ACBD6,55.5671,52.5895,52.7633,65.6576,63.2015,66.2351
ACBD7,3.27461,2.97924,2.95782,3.06111,2.60589,2.35365
ACCS,9.78248,8.61061,9.15076,5.8492,6.54766,6.92875
ACCSL,0.077693,0,0,0.0346919,0.063936,0
ACD,27.9441,26.2596,25.2651,22.256,23.6175,21.1816
ACE2,0.0487715,0.27379,0.325352,1.40818,1.70284,0.106902
ACE,3.08071,3.05806,2.90075,0.042029,0.222293,2.39255
ACE3P,0,0,0,0,0,0
ACER1,0,0,0,0,0,0
ACER2,1.296,1.2856,1.3096,1.26567,1.68739,1.80635
ACER2P1,0,0,0,0,0,0
ACER3,5.14466,6.6424,6.46641,7.3045,7.09429,7.26611
ACHE,8.66247,8.8449,7.98093,4.57169,5.1204,5.33824
ACIN1,224.994,234.31,238.237,180.874,163.595,175.014
ACKR1,0,0,0,0,0,0
ACKR2,0.158736,0.745107,0.267042,0.186067,0.62181,0.245601
ACKR3,0.137849,0.105023,0.0671783,0.208093,0.0566898,0
ACKR4,0,0,0.0289606,0.0530706,0.0244359,0
ACKR4P1,0,0,0.0701505,0,0,0
ACLY,87.2736,95.5749,89.9659,100.199,101.293,102.854
ACMSD,0,0,0,0,0,0
ACNATP,0,0.108884,0,0.107463,0,0
ACO1,9.98699,10.1983,9.80962,11.2005,11.92,11.6767
ACO2,43.0418,44.6107,46.0488,49.2429,49.503,52.1718
ACOT11,1.03009,1.34394,0.841292,0.70084,0.681382,0.871792
ACOT12,0,0.0300798,0,0,1.97273,0
ACOT1,2.65108,24.4455,3.19102,2.26293,0,2.4417
ACOT13,22.3132,4.09927,24.8774,29.2298,24.2251,24.7867
ACOT2,13.2623,10.3528,13.4506,11.8541,11.8755,12.6737
ACOT4,0,0,0,0,0,0
ACOT6,0,0,0,0.0679081,0,0
ACOT7,44.4232,52.865,44.4648,55.2168,56.2496,53.1585
ACOT8,13.7959,13.3274,13.6823,14.896,19.0923,17.8069
ACOT9,15.738,18.5947,16.3757,20.1594,20.439,21.579
ACOX1,9.41768,11.0187,16.7917,7.19415,9.3525,7.29523
ACOX2,0.169191,0,0,0.270712,0.273884,0.299199
ACOX3,4.79445,4.75232,6.88231,4.39774,5.35208,4.66368
ACOXL,0.0602236,0.51548,0.360368,0.0996105,0.13814,0.244589
ACOXL-AS1,0.11832,0.0643524,0.434759,0.0832428,0.250434,0.0896302
ACP1,86.4616,89.631,85.3092,106.175,101.142,106.821
ACP2,24.2532,25.7762,30.3937,15.617,14.085,15.3342
ACP3,0.50341,0.422721,0.434273,0.411303,0.516518,0.298783
ACP4,0,0,0,0,0.044634,0
ACP5,0,0.0266946,0.0728627,0,0,0.0279225
ACP6,25.4143,25.1337,20.9261,27.7118,32.0704,29.3274
ACP7,0.0846539,0.0430286,0.11557,0,0,0.111063
ACR,0.239152,0,0,0.180059,0.291917,0.0959358
ACRBP,0.203306,0.298006,0.29601,0.660286,0.398367,0.485365
ACRP1,0.119327,0.21591,0,0,0,0.345786
ACRV1,0,0,0,0,0,0.138938
ACSBG1,0.846892,1.06956,1.04708,0.29845,0.490588,0.481456
ACSBG2,0,0,0,0,0.102045,0.118674
ACSF2,10.8505,6.86025,8.0385,11.6074,12.7308,15.2142
ACSF3,17.8093,20.5321,17.6372,21.0275,23.2838,21.4814
ACSL1,8.15507,7.5571,8.7956,11.5011,11.8655,11.3933
ACSL3,30.4069,35.09,32.5348,37.3015,37.8668,36.2892
ACSL3-AS1,0,0,0,0,0,0
ACSL4,12.6877,13.9879,11.6782,14.5919,13.1152,14.7632
ACSL5,0.0210979,0,0,0.113593,0,0
ACSL6,0.601719,1.70765,0.372007,0.49178,1.00524,0.610067
ACSM1,0.0988196,0.268326,0,0.199849,0.344327,0.380199
ACSM2A,0.128823,0.183121,0.24143,0.548532,0.841287,0.0280261
ACSM2B,0.271581,0,0.090048,0.309752,0.136966,0.0787904
ACSM3,2.23773,1.98795,2.37329,2.44176,1.00085,1.92436
ACSM4,0,0.0264627,0,0,0,0
ACSM5,0,0,0,0,0,0
ACSM5P1,0,0,0,0,0,0
ACSM6,0,0,0,0,0,0
ACSS1,4.58471,5.67826,4.41104,5.84135,4.99542,5.33958
ACSS2,9.65358,6.77573,6.49907,10.5457,9.86592,8.3475
ACSS3,0.67674,1.54285,1.3597,2.87285,2.08277,1.44778
ACTA1,2.56148,2.27958,3.24432,2.61944,2.29667,2.70965
ACTA2,8.7506,12.1287,12.4914,17.3965,21.2661,19.9758
ACTA2-AS1,0.267157,0.0252945,0.17976,0.136715,0.114674,0.241155
ACTB,980.462,1102.45,1055,1017.46,1056.39,1059.09
ACTBL2,0,0,0,0,0.0199271,0
ACTBP1,0,0,0,0,0,0
ACTBP11,0.066292,0.0600357,0,0,0.164193,0
ACTBP12,0,0.448702,0,0,0,0
ACTBP14,0.206796,0.312142,0.0674049,0,0.0569338,0
ACTBP15,0.0711761,0,0.487195,0,0,0
